Question,Student,Correct
"1","A","A"
"2","D","C"
"3","C","B"
"4","B","D"
"5","D","D"
"6","B","B"
"7","D","C"
"8","A","A"
"9","C","C"
"10","D","A"
"11","D","C"
"12","D","C"
"13","B","C"
"14","C","C"
"15","A","B"
"16","D","A"
"17","C","D"
"18","B","B"
"19","D","B"
"20","D","C"
"21","C","B"
"22","C","A"
"23","A","A"
"24","B","C"
"25","A","A"
"26","D","A"
"27","C","B"
"28","D","C"
"29","B","D"
"30","B","C"
"31","B","D"
"32","A","D"
"33","A","C"
"34","A","B"
"35","A","A"
"36","A","D"
"37","C","D"
"38","D","D"
"39","B","A"
"40","C","C"
"41","D","A"
"42","C","A"
"43","A","C"
"44","B","B"
"45","A","A"
"46","B","B"
"47","B","C"
"48","B","B"
"49","D","D"
"50","C","A"
"51","A","A"
"52","D","C"
"53","C","D"
"54","A","A"
"55","A","A"
"56","C","C"
"57","B","A"
"58","C","D"
"59","B","B"
"60","A","B"
"61","B","B"
"62","D","C"
"63","C","A"
"64","B","C"
"65","C","C"
"66","C","A"
"67","A","A"
"68","C","C"
"69","B","B"
"70","C","D"
"71","C","C"
"72","C","A"
"73","D","C"
"74","B","A"
"75","B","B"
"76","C","C"
"77","A","D"
"78","C","C"
"79","B","A"
"80","A","D"
"81","C","D"
"82","B","B"
"83","D","A"
"84","C","D"
"85","A","D"
"86","C","C"
"87","A","B"
"88","A","B"
"89","C","D"
"90","A","C"
"91","B","A"
"92","C","B"
"93","A","C"
"94","B","D"
"95","B","D"
"96","B","A"
"97","B","C"
"98","A","D"
"99","D","C"
"100","B","C"
